rank,opcode,block_count,project_count,block_percent,project_percent
524,gsaHTTPRequests_requestFail,1,1,0.0001,0.4
525,gsaHTTPRequests_requestSuccess,1,1,0.0001,0.4
526,shovelcss_clearCSS,1,1,0.0001,0.4
527,strings_unicodefrom,1,1,0.0001,0.4
528,strings_unicodeof,1,1,0.0001,0.4
529,pen_changePenHueBy,1,1,0.0001,0.4
530,pen_changePenShadeBy,1,1,0.0001,0.4
531,lmsutilsblocks_isUserMobile,1,1,0.0001,0.4
532,cubesterWindowControls_closeWindow,1,1,0.0001,0.4
533,customInputBox_createInputBox,1,1,0.0001,0.4
534,customInputBox_hideInputBox,1,1,0.0001,0.4
535,customInputBox_showInputBox,1,1,0.0001,0.4
536,customInputBox_isInputBoxTouchingMouse,1,1,0.0001,0.4
537,customInputBox_isKeyPressedOnInputBox,1,1,0.0001,0.4
538,gsaHTTPRequests_requestComplete,1,1,0.0001,0.4
539,lmsSoundExpanded_playSoundAt,1,1,0.0001,0.4
540,SPtuneShark3_stopSound,1,1,0.0001,0.4
541,SPtuneShark3_importURL,1,1,0.0001,0.4
542,SPtuneShark3_startSound,1,1,0.0001,0.4
543,nishiowoDectalk_speakAndWait,1,1,0.0001,0.4
544,nishiowoDectalk_stopAll,1,1,0.0001,0.4
545,text2speech_setVoice,1,1,0.0001,0.4
546,text2speech_menu_voices,1,1,0.0001,0.4
547,text2speech_speakAndWait,1,1,0.0001,0.4
548,images_switchToImage,1,1,0.0001,0.4
549,skyhigh173JSON_json_delete,1,1,0.0001,0.4
550,lmsclonesplus_touchingCloneWithVar,1,1,0.0001,0.4
551,utilities_falseBlock,1,1,0.0001,0.4
552,lmsVideo_setPlaybackRate,1,1,0.0001,0.4
553,lmsVideo_pause,1,1,0.0001,0.4
554,lmsVideo_resume,1,1,0.0001,0.4
555,truefantommath_trunc_block,1,1,0.0001,0.4
556,truefantommath_trunc2_block,1,1,0.0001,0.4
557,truefantommath_is_number_block,1,1,0.0001,0.4
558,dtbyxeroname_dt,1,1,0.0001,0.4
559,lmsAssets_openProject,1,1,0.0001,0.4
560,localstorage_whenChanged,1,1,0.0001,0.4
561,MecllNeteaseMusic_ControlMusic,1,1,0.0001,0.4
562,DTcameracontrols_getZoom,1,1,0.0001,0.4
563,MecllNeteaseMusic_ControlAllMusic,1,1,0.0001,0.4
564,MecllNeteaseMusic_GetOnlineSongsInfo,1,1,0.0001,0.4
565,MecllNeteaseMusic_menu_getonlinesongsinfotype,1,1,0.0001,0.4
566,MecllNeteaseMusic_StartPlayMusic,1,1,0.0001,0.4
567,lmsclonesplus_createCloneOfMyselfWithVar,1,1,0.0001,0.4
568,shovelcss_pictureinput,1,1,0.0001,0.4
569,shovelcss_gradientAngle,1,1,0.0001,0.4
570,utilities_isLessOrEqual,1,1,0.0001,0.4
571,utilities_isMoreOrEqual,1,1,0.0001,0.4
572,gitblobsha_calcBlobText,1,1,0.0001,0.4
573,RixxyX_startTime,1,1,0.0001,0.4
574,lmsclonesplus_getVariableOfClone,1,1,0.0001,0.4
575,qxsckvarandlist_getValueOfList,1,1,0.0001,0.4
576,qxsckvarandlist_clearList,1,1,0.0001,0.4
577,qxsckvarandlist_addValueInList,1,1,0.0001,0.4
578,lmsVideo_getLoadedVideos,1,1,0.0001,0.4
579,nonameawacomparisons_notEqual,1,1,0.0001,0.4
580,nonameawacomparisons_equalOrLess,1,1,0.0001,0.4
581,bcxToolboxV5_objGetValueCount,1,1,0.0001,0.4
582,qxsckvarandlist_listContains,1,1,0.0001,0.4
583,codingStarInput_isKeyPressedInInput,1,1,0.0001,0.4
584,popupuinew_show_confirm,1,1,0.0001,0.4
585,popupuinew_get_confirm_bool,1,1,0.0001,0.4
586,penP_getPenHSV,1,1,0.0001,0.4
587,penP_menu_hsvMenu,1,1,0.0001,0.4
588,lmsutilsblocks_setClipboard,1,1,0.0001,0.4
589,codingStarInput_setTextColor,1,1,0.0001,0.4
590,codingStarInput_setBorder,1,1,0.0001,0.4
591,codingStarInput_setShowBg,1,1,0.0001,0.4
592,codingStarInput_setWidth,1,1,0.0001,0.4
593,touisystem_toast_error,1,1,0.0001,0.4
594,event_whentouchingobject,1,1,0.0001,0.4
595,penP_setCullMode,1,1,0.0001,0.4
596,penP_menu_cullMode,1,1,0.0001,0.4
597,penP_setWholeTrianglePointAttribute,1,1,0.0001,0.4
598,penP_menu_wholeTriAttribute,1,1,0.0001,0.4
599,event_whenstageclicked,1,1,0.0001,0.4
